"","Sum Intermediate Reqs","Sum Intermediate Reqs Scrap Adj","Rel_Diff"
"722A00/US",0.35807003169313,0.358070442813973,-1.1481563246605e-06
"336612/US",0.733846270892718,0.733847296104414,-1.39703682448137e-06
"334514/US",0.457366178688493,0.457366860167057,-1.49000424771436e-06
"335120/US",0.528473450572792,0.528474409037513,-1.8136445294851e-06
"334111/US",0.322624660851162,0.32262556677294,-2.80796648156457e-06
"325520/US",0.596601823242074,0.596603542660727,-2.88201214068401e-06
"339115/US",0.388106491490647,0.388107820363154,-3.4239776619893e-06
"336411/US",0.502784694503381,0.502786491214962,-3.57350806492546e-06
"325130/US",0.63571013156512,0.635712515171977,-3.74950437502073e-06
"325510/US",0.621703221941972,0.62170555728451,-3.75634817888267e-06
"336212/US",0.738215597584656,0.738218516591057,-3.95412243934353e-06
"337122/US",0.611127910238697,0.611130369952494,-4.02485937302301e-06
"327400/US",0.500990453672485,0.500992538178993,-4.16075360209102e-06
"33641A/US",0.729111264544477,0.729114355132268,-4.2388244975119e-06
"336999/US",0.677852326654451,0.677855488648082,-4.66470167116786e-06
"333994/US",0.601703820276399,0.601706773717438,-4.90843907395385e-06
"233412/US",0.431664168195194,0.431666320298258,-4.98557094592175e-06
"335911/US",0.640004433400999,0.640007715265049,-5.12785076096021e-06
"336991/US",0.5113408587752,0.511343632297928,-5.42398996219471e-06
"335312/US",0.61609581821542,0.616099297870834,-5.64788083141904e-06
"334210/US",0.349721618891618,0.349723613254745,-5.70268363820034e-06
"233210/US",0.350965288526039,0.350967467336716,-6.20801322055596e-06
"337127/US",0.608659277534513,0.608663091440398,-6.26603771093556e-06
"325120/US",0.63500869546926,0.635012738879601,-6.36744760167908e-06
"311119/US",0.847029108879557,0.847034654632998,-6.54725684523176e-06
"2332A0/US",0.487871484271838,0.487874777609552,-6.75037502441323e-06
"339113/US",0.412367690289735,0.412370650946199,-7.17960033643228e-06
"3252A0/US",0.682397483844891,0.682402564615197,-7.44541502176465e-06
"511130/US",0.524006942516217,0.524011713632166,-9.10497957303911e-06
"333991/US",0.566201484846096,0.566206646852629,-9.11682432852633e-06
"444000/US",0.272999499161344,0.273002365286306,-1.04985352720426e-05
"333920/US",0.620149348931647,0.62015598867479,-1.07065694185523e-05
"532400/US",0.423295219558435,0.423299955819486,-1.11889004145091e-05
"211000/US",0.366032718229398,0.36603688272244,-1.13772497769309e-05
"327100/US",0.509664760355423,0.50967092387749,-1.20931404530412e-05
"333612/US",0.585508489652985,0.58551558445376,-1.21171852009627e-05
"424A00/US",0.437870594275581,0.437875956911254,-1.22469288129386e-05
"722211/US",0.522939565813913,0.522946174446582,-1.26373095214639e-05
"811400/US",0.463413662117079,0.463419898919655,-1.34582105588703e-05
"561700/US",0.477324069861928,0.477330602238133,-1.36852239819557e-05
"313300/US",0.682200225111324,0.682209569912817,-1.36978458013027e-05
"333120/US",0.617995463725429,0.618004164518982,-1.40788590966696e-05
"336211/US",0.722377882855231,0.722388055869949,-1.40824791267102e-05
"333413/US",0.579763049065386,0.579772051383912,-1.55273413129022e-05
"333993/US",0.597804695277251,0.597814376751181,-1.61947827054124e-05
"722110/US",0.410390246671385,0.410396894861507,-1.61994162359554e-05
"721000/US",0.358951961559927,0.358957851838291,-1.64093871575651e-05
"325211/US",0.732946421713766,0.732959484486913,-1.78219579977939e-05
"624100/US",0.35615903060903,0.35616545590084,-1.80401880754829e-05
"335220/US",0.524718779471247,0.52472915727828,-1.97774544996756e-05
"48A000/US",0.521532939417854,0.521544436965845,-2.20451934214453e-05
"327910/US",0.349911812804839,0.349920011899331,-2.34313391996756e-05
"337110/US",0.553720090821981,0.553733133500191,-2.35540866540349e-05
"327390/US",0.515971658372784,0.515985063486486,-2.59796545499088e-05
"339940/US",0.582777184494797,0.582794128941709,-2.90744983024289e-05
"33712N/US",0.69816202219613,0.698185764129313,-3.40051808600191e-05
"5111A0/US",0.400757661759399,0.400772192031721,-3.62556899180179e-05
"221300/US",0.514111871223957,0.514135795441441,-4.65328765216753e-05
"423800/US",0.426667410079759,0.426687881921113,-4.79784925258428e-05
"33721A/US",0.624407820546763,0.624438874463385,-4.97309150537056e-05
"812900/US",0.4633505633536,0.463374237988328,-5.10918233850149e-05
"711A00/US",0.436178660735422,0.436202520430445,-5.46986638209765e-05
