"","input","output","value"
"1116","33399B/US","336320/US",9.9025038830209e-05
"1248","336320/US","3363A0/US",9.69523107185143e-05
"1482","3252A0/US","326140/US",9.62726593442265e-05
"1402","322220/US","323110/US",9.61801843535476e-05
"1324","332710/US","322230/US",9.57919351072221e-05
"1544","324110/US","562000/US",9.51979273601314e-05
"900","326110/US","332999/US",9.47449039078278e-05
"628","332800/US","332600/US",9.468702495204e-05
"84","484000/US","331110/US",9.45311329163812e-05
"20","325520/US","321200/US",9.44464323136343e-05
"42","325520/US","321910/US",9.42589796122818e-05
"258","332320/US","332114/US",9.42381164851539e-05
"410","541512/US","332119/US",9.42009542236266e-05
"502","531ORE/US","332320/US",9.40982594028437e-05
"352","332200/US","332119/US",9.39103589924326e-05
"355","332430/US","332119/US",9.3900347563276e-05
"337","221200/US","332119/US",9.38838768256142e-05
"361","332991/US","332119/US",9.38687500918925e-05
"1385","424A00/US","322299/US",9.30248013577481e-05
"1251","336390/US","3363A0/US",9.28243477312032e-05
"181","221100/US","331410/US",9.24599761796541e-05
"771","332114/US","332800/US",9.19800420209876e-05
"214","221100/US","331520/US",9.16329594457498e-05
"595","332500/US","332500/US",9.13479250910301e-05
"1533","332320/US","562000/US",9.11739547805272e-05
"1580","811300/US","562000/US",9.10070076857311e-05
"1602","541300/US","GSLGO/US",9.09617479190952e-05
"877","332119/US","332999/US",9.07573841427744e-05
"511","331110/US","332410/US",9.06372291031715e-05
"3","321100/US","321100/US",9.04208984636445e-05
"1072","423A00/US","333613/US",9.02522738294581e-05
"1060","33211A/US","333613/US",9.0122805178082e-05
"1033","423600/US","33351B/US",8.99723224039445e-05
"754","561300/US","332720/US",8.95165934538741e-05
"1388","48A000/US","322299/US",8.94469030918096e-05
"1305","493000/US","322210/US",8.89006515413029e-05
"1488","333613/US","326150/US",8.86546074111601e-05
"203","331490/US","331490/US",8.84669429770807e-05
"452","333517/US","332310/US",8.83814598663865e-05
"608","230301/US","332600/US",8.82663275942079e-05
"19","325211/US","321200/US",8.8210513347016e-05
"664","541800/US","332600/US",8.81891661197306e-05
"545","484000/US","332420/US",8.79885575858479e-05
"193","484000/US","331410/US",8.76947098216729e-05
"80","331410/US","331110/US",8.76480490228648e-05
"915","523A00/US","332999/US",8.67566578071572e-05
"914","52A000/US","332999/US",8.67210860908156e-05
"101","332710/US","331200/US",8.64677478730142e-05
"246","230301/US","332114/US",8.64231752224741e-05
"1345","482000/US","322230/US",8.62961184829869e-05
"657","524200/US","332600/US",8.57344998037475e-05
"1210","336370/US","336390/US",8.56809886920218e-05
"1380","3252A0/US","322299/US",8.55513985216355e-05
"770","331490/US","332800/US",8.5376466640941e-05
"218","331410/US","331520/US",8.53748348770625e-05
"334","561900/US","33211A/US",8.53333447206773e-05
"785","322210/US","332800/US",8.51160761185885e-05
"179","212230/US","331410/US",8.49811294525299e-05
"1448","3259A0/US","326120/US",8.47023989414795e-05
"1608","562000/US","GSLGO/US",8.4422662438563e-05
"1253","339990/US","3363A0/US",8.42003458168816e-05
"654","52A000/US","332600/US",8.4009869986898e-05
"800","424A00/US","332800/US",8.40012138442012e-05
"559","561300/US","332420/US",8.38694070152968e-05
"537","325510/US","332420/US",8.3763483081133e-05
"506","550000/US","332320/US",8.35676742355611e-05
"668","561300/US","332600/US",8.34441233562534e-05
"601","423A00/US","332500/US",8.30483416220176e-05
"1504","326120/US","326150/US",8.27564180131933e-05
"320","484000/US","33211A/US",8.27119139856745e-05
"1586","230301/US","GSLGO/US",8.25246751727342e-05
"380","326190/US","332119/US",8.20708577463176e-05
"643","423600/US","332600/US",8.16094435377003e-05
"1391","531ORE/US","322299/US",8.12155195895926e-05
"1597","523900/US","GSLGO/US",8.10752172358924e-05
"622","332320/US","332600/US",8.09535916479398e-05
"839","33211A/US","332996/US",8.05315403084733e-05
"1389","493000/US","322299/US",8.02928757374921e-05
"1032","335314/US","33351B/US",8.02287013362199e-05
"1453","424200/US","326120/US",7.98778092912233e-05
"260","332710/US","332114/US",7.97363655934387e-05
"102","332720/US","331200/US",7.96945346922704e-05
"1308","531ORE/US","322210/US",7.96850849730784e-05
"1302","482000/US","322210/US",7.95967103756692e-05
"552","531ORE/US","332420/US",7.9346194958833e-05
"993","423A00/US","333514/US",7.9328342349104e-05
"558","550000/US","332420/US",7.91261151465352e-05
"412","541300/US","332119/US",7.89969689331176e-05
"349","332114/US","332119/US",7.89217140308681e-05
"1387","484000/US","322299/US",7.88041741537487e-05
"1361","561300/US","322230/US",7.87061383722837e-05
"1057","331420/US","333613/US",7.84849698380573e-05
"888","334413/US","332999/US",7.847897890119e-05
"898","325211/US","332999/US",7.77511061194397e-05
"276","482000/US","332114/US",7.68905069094663e-05
"521","331510/US","332420/US",7.68600158826769e-05
"721","332710/US","332720/US",7.65161627602779e-05
"498","484000/US","332320/US",7.64681439866417e-05
"219","331420/US","331520/US",7.58152851130407e-05
"1243","33399B/US","3363A0/US",7.56153732213473e-05
"1272","331110/US","336500/US",7.55876022939667e-05
"1194","326190/US","336370/US",7.53791919405923e-05
"175","561300/US","33131B/US",7.52337452901135e-05
"488","334413/US","332320/US",7.48369106458417e-05
"617","332114/US","332600/US",7.45208226686231e-05
"1355","541100/US","322230/US",7.37983738412912e-05
"1114","331520/US","336320/US",7.36725548076689e-05
"873","331490/US","332999/US",7.36599754609913e-05
"1034","423800/US","33351B/US",7.35563241977231e-05
"340","327910/US","332119/US",7.3541451363661e-05
"957","331110/US","333511/US",7.34618484467611e-05
"1284","221100/US","322210/US",7.34294695088518e-05
"1450","326120/US","326120/US",7.33849636209167e-05
"890","334513/US","332999/US",7.32915572459205e-05
"666","5419A0/US","332600/US",7.30005337930052e-05
"699","531ORE/US","332710/US",7.29499267861124e-05
"774","332720/US","332800/US",7.29449321660008e-05
"716","331520/US","332720/US",7.29198118429569e-05
"703","561300/US","332710/US",7.28606936960773e-05
"1174","423100/US","336360/US",7.28162194689463e-05
"955","550000/US","333414/US",7.24149476450942e-05
"1183","33131B/US","336370/US",7.23193729700693e-05
"964","33351B/US","333511/US",7.2303949714185e-05
"144","33131B/US","331313/US",7.20854869612972e-05
"460","484000/US","332310/US",7.16254009326244e-05
"1555","48A000/US","562000/US",7.11668101103756e-05
"1239","332720/US","3363A0/US",7.11470678229457e-05
"241","550000/US","331520/US",7.10530139775706e-05
"1200","550000/US","336370/US",7.09454223589874e-05
"1151","336390/US","336350/US",7.0744294774279e-05
"1434","424A00/US","326110/US",7.07175556883058e-05
"1593","517210/US","GSLGO/US",7.06457299965435e-05
"541","423800/US","332420/US",7.06197028628921e-05
"529","33291A/US","332420/US",7.0496038182391e-05
"464","531ORE/US","332310/US",7.0004604948784e-05
"206","484000/US","331490/US",6.98401805102021e-05
"1475","424A00/US","326130/US",6.97407121958357e-05
"1220","423100/US","336390/US",6.96904741210765e-05
"739","518200/US","332720/US",6.95295254674018e-05
"741","523A00/US","332720/US",6.93896054132425e-05
"96","331490/US","331200/US",6.93741753396999e-05
"714","331490/US","332720/US",6.93273533401376e-05
"231","423800/US","331520/US",6.91963129458642e-05
"1326","332800/US","322230/US",6.91114320026292e-05
"644","423800/US","332600/US",6.90326073518326e-05
"281","52A000/US","332114/US",6.89361240431112e-05
