FacilityID,FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,State,County,Location,NAICS
17894011,Carbon Dioxide,air,592845.22759,kg,2.0,NEI,2020,110070208801,Minnesota,Blue earth,27013,331314
17894011,Carbon Monoxide,air,405.420860306,kg,2.0,NEI,2020,110070208801,Minnesota,Blue earth,27013,331314
17894011,Nitrogen Oxides,air,482.62228168000007,kg,2.0,NEI,2020,110070208801,Minnesota,Blue earth,27013,331314
17894011,PM2.5 Primary (Filt + Cond),air,1548.552739215328,kg,2.0,NEI,2020,110070208801,Minnesota,Blue earth,27013,331314
17894011,Sulfur Dioxide,air,2.89573369008,kg,2.0,NEI,2020,110070208801,Minnesota,Blue earth,27013,331314
17894011,Volatile Organic Compounds,air,35.60883877448706,kg,3.2180267965895246,NEI,2020,110070208801,Minnesota,Blue earth,27013,331314
18041311,Carbon Dioxide,air,1871431.400146,kg,3.0,NEI,2020,110004880246,Pennsylvania,Schuylkill,42107,331314
18041311,Carbon Monoxide,air,362.87389600000006,kg,3.0,NEI,2020,110004880246,Pennsylvania,Schuylkill,42107,331314
18041311,Nitrogen Oxides,air,1905.087954,kg,2.9999999999999996,NEI,2020,110004880246,Pennsylvania,Schuylkill,42107,331314
18041311,PM2.5 Primary (Filt + Cond),air,1818.7148949046002,kg,2.0,NEI,2020,110004880246,Pennsylvania,Schuylkill,42107,331314
18041311,Sulfur Dioxide,air,11702.683146000001,kg,3.0,NEI,2020,110004880246,Pennsylvania,Schuylkill,42107,331314
18041311,Volatile Organic Compounds,air,10160.469088000002,kg,2.9999999999999996,NEI,2020,110004880246,Pennsylvania,Schuylkill,42107,331314
19228511,Carbon Monoxide,air,1197.6952308444202,kg,5.0,NEI,2020,110009531453,California,Los angeles,06037,331314
19228511,Nitrogen Oxides,air,1488.56859558484,kg,4.999999999999999,NEI,2020,110009531453,California,Los angeles,06037,331314
19228511,PM2.5 Primary (Filt + Cond),air,151.78448442091397,kg,5.000000000000001,NEI,2020,110009531453,California,Los angeles,06037,331314
19228511,Sulfur Dioxide,air,12.080071997840001,kg,4.999999999999999,NEI,2020,110009531453,California,Los angeles,06037,331314
19228511,Volatile Organic Compounds,air,1091.0430145921782,kg,5.0,NEI,2020,110009531453,California,Los angeles,06037,331314
20194611,Carbon Monoxide,air,6.7222389234,kg,3.0,NEI,2020,110071198691,Rhode island,Kent,44003,331315
20194611,Nitrogen Oxides,air,31.2343705982,kg,3.0,NEI,2020,110071198691,Rhode island,Kent,44003,331315
20194611,PM2.5 Primary (Filt + Cond),air,2.1999229945,kg,3.0,NEI,2020,110071198691,Rhode island,Kent,44003,331315
20194611,Sulfur Dioxide,air,2.0547734361,kg,3.0,NEI,2020,110071198691,Rhode island,Kent,44003,331315
20194611,Volatile Organic Compounds,air,787.2372179574729,kg,3.0,NEI,2020,110071198691,Rhode island,Kent,44003,331315
20224811,Carbon Dioxide,air,589166.0164998054,kg,3.0,NEI,2020,110070796890,Kentucky,Todd,21219,331315
20224811,Carbon Monoxide,air,726.5643580563215,kg,3.0,NEI,2020,110070796890,Kentucky,Todd,21219,331315
20224811,Nitrogen Oxides,air,615.1080672767492,kg,3.0,NEI,2020,110070796890,Kentucky,Todd,21219,331315
20224811,PM2.5 Primary (Filt + Cond),air,91.80577119827961,kg,2.0,NEI,2020,110070796890,Kentucky,Todd,21219,331315
20224811,Sulfur Dioxide,air,7.051066176107801,kg,2.9999999999999996,NEI,2020,110070796890,Kentucky,Todd,21219,331315
20224811,Volatile Organic Compounds,air,90.54868398733738,kg,3.0,NEI,2020,110070796890,Kentucky,Todd,21219,331315
20237511,Carbon Dioxide,air,3455774.718310314,kg,2.9999999999999996,NEI,2020,110070207829,Kentucky,Warren,21227,331318
20237511,Carbon Monoxide,air,2419.0422828591554,kg,3.0000000000000004,NEI,2020,110070207829,Kentucky,Warren,21227,331318
20237511,Nitrogen Oxides,air,2879.812960766896,kg,3.0,NEI,2020,110070207829,Kentucky,Warren,21227,331318
